name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Guillermo Varela,G. Varela,D,Uruguay,5,5,5,0.7,5
Mostafa Shobeir,M. Shobeir,G,Egypt,4.5,5,5,1.1,5
Joel Ordóñez,J. Ordóñez,D,Ecuador,5,5,5,0.5,5
Jefferson Lerma,J. Lerma,M,Colombia,5.5,5,5,0.6,5
Martin Expérience,M. Expérience,D,Haiti,4,5,5,0.1,5
Aymen Hussein,A. Hussein,F,Iraq,4,5,5,0.5,5
Jan Paul van Hecke,J. P. van Hecke,D,Netherlands,5.5,5,5,2,5
Brandon Thomas-Asante,B. Thomas-Asante,F,Ghana,4.5,5,5,0.1,5
Akram Afif,A. Afif,M,Qatar,4,5,5,1.5,5
Antonee Robinson,A. Robinson,D,USA,5,5,5,1,5
Sander Berge,S. Berge,M,Norway,6,5,5,1.1,5
Matěj Kovář,M. Kovář,G,Czechia,5,5,5,0.6,5
Saman Ghoddos,S. Ghoddos,M,Iran,4.5,5,5,0,5
Mohamed Kanno,M. Kanno,M,Saudi Arabia,5,5,5,0.1,5
Kristoffer Ajer,K. Ajer,D,Norway,5,5,5,0.3,5
Michel Aebischer,M. Aebischer,M,Switzerland,4.5,5,5,0.1,5
Ivan Bašić,I. Bašić,M,Bosnia & Herzegovina,4,5,5,0.3,5
Nico Elvedi,N. Elvedi,D,Switzerland,5,5,5,0.3,5
Moteb Al-Harbi,M. Al-Harbi,D,Saudi Arabia,4,5,5,0.1,5
Torbjørn Heggem,T. Heggem,D,Norway,4.5,5,5,0.1,5
Yoel Bárcenas,Y. Bárcenas,M,Panama,4,5,5,0.1,5
Nizar Al-Rashdan,N. Al-Rashdan,M,Jordan,4,5,5,0,5
Issa Laye,I. Laye,D,Qatar,4,5,5,0,5
Kim Seung-gyu,K. Seung-gyu,G,South Korea,4.5,5,5,0.2,5
Jiovany Ramos,J. Ramos,D,Panama,4,5,5,0,5
Homam Al-Amin,H. Al-Amin,D,Qatar,4,5,5,0,5
Jacob Italiano,J. Italiano,M,Australia,4,5,5,0.1,5
Bruno Fernandes,B. Fernandes,M,Portugal,9.5,4,4,15.7,4
Ousmane Dembélé,O. Dembélé,M,France,11.5,4,4,10.5,4
Sadio Mané,S. Mané,M,Senegal,8,4,4,1.2,4
Jules Koundé,J. Koundé,D,France,6.5,4,4,6,4
Aurélien Tchouaméni,A. Tchouaméni,M,France,6.5,4,4,2.9,4
Kenan Yıldız,K. Yıldız,M,Türkiye,7.5,4,4,0.9,4
Moisés Caicedo,M. Caicedo,M,Ecuador,7,4,4,3.2,4
Lucas Paquetá,L. Paquetá,M,Brazil,6.5,4,4,2,4
Iliman Ndiaye,I. Ndiaye,M,Senegal,6.5,4,4,0.7,4
Manuel Neuer,M. Neuer,G,Germany,5.5,4,4,12.1,4
Cody Gakpo,C. Gakpo,M,Netherlands,7.5,4,4,1.6,4
Azzedine Ounahi,A. Ounahi,M,Morocco,7,4,4,0.5,4
Jean-Ricner Bellegarde,J. Bellegarde,M,Haiti,4.5,4,4,0.5,4
Jhon Arias,J. Arias,M,Colombia,6,4,4,2.2,4
Luis Javier Suárez,L. J. Suárez ,F,Colombia,7,4,4,1.9,4
Denzel Dumfries,D. Dumfries,D,Netherlands,6.5,4,4,8,4
Gonzalo Plata,G. Plata,M,Ecuador,6,4,4,1.3,4
Ferdi Kadıoğlu,F. Kadıoğlu,D,Türkiye,5.5,4,4,3.7,4
Nicolás González,N. González,M,Argentina,5.5,4,4,0.9,4
Orkun Kökçü,O. Kökçü,M,Türkiye,5.5,4,4,1.4,4
Aaron Wan-Bissaka,A. Wan-Bissaka,D,DR Congo,5,4,4,0.9,4
Nicolás de la Cruz,N. De la Cruz,M,Uruguay,4.5,4,4,0.5,4
Morgan Rogers,M. Rogers,M,England,6,4,4,2.4,4
Antonio Nusa,A. Nusa,M,Norway,6.5,4,4,1.8,4
Krépin Diatta,K. Diatta,D,Senegal,5,4,4,0.3,4
Dominik Livaković,D. Livaković,G,Croatia,5,4,4,5,4
Enner Valencia,E. Valencia,F,Ecuador,5.5,4,4,2.4,4
Aïssa Mandi,A. Mandi,D,Algeria,4.5,4,4,0.3,4
Lucas Bergvall,L. Bergvall,M,Sweden,5,4,4,0.7,4
Cucho Hernández,C. Hernández,F,Colombia,5,4,4,0.4,4
Fernando Muslera,F. Muslera,G,Uruguay,4,4,4,2.2,4
Zion Suzuki,Z. Suzuki,G,Japan,4,4,4,4,4
Rodrigo Bentancur,R. Bentancur,M,Uruguay,6,4,4,1.4,4
Ali Jasim,A. Jasim,M,Iraq,4,4,4,0.3,4
Uğurcan Çakır,U. Çakır,G,Türkiye,5,4,4,2.9,4
Amar Dedić,A. Dedić,D,Bosnia & Herzegovina,5,4,4,0.7,4
Ben Gannon-Doak,B. Doak,M,Scotland,4.5,4,4,0.2,4
Hannes Delcroix,H. Delcroix,D,Haiti,4,4,4,0.2,4
Abdülkerim Bardakcı,A. Bardakcı,D,Türkiye,5,4,4,0.4,4
Álvaro Fidalgo,Á. Fidalgo,M,Mexico,5.5,4,4,0.9,4
Julian Ryerson,J. Ryerson,D,Norway,5,4,4,1.5,4
Jae-sung Lee,J. Lee,M,South Korea,4.5,4,4,0.2,4
Tomáš Souček,T. Souček,M,Czechia,5.5,4,4,0.7,4
Hamdy Fathy,H. Fathy,M,Egypt,4.5,4,4,0.1,4
Alan Franco,A. Franco,M,Ecuador,5,4,4,0.1,4
Tyler Adams,T. Adams,M,USA,5,4,4,0.5,4
Chris Richards,C. Richards,D,USA,5,4,4,0.2,4
Remo Freuler,R. Freuler,M,Switzerland,5.5,4,4,0.5,4
Vladimír Coufal,V. Coufal,D,Czechia,5.5,4,4,1.5,4
Odeh Fakhoury,O. A. Fakhouri,F,Jordan,4,4,4,0.1,4
Koki Ogawa,K. Ogawa,F,Japan,4.5,4,4,0.2,4
Khuliso Mudau,K. Mudau,D,South Africa,4,4,4,0.4,4
Seung Ho Paik,S. Paik,M,South Korea,5,4,4,0.1,4
Saeid Ezatolahi,S. Ezatolahi,M,Iran,4.5,4,4,0,4
Andrés Cubas,A. Cubas,M,Paraguay,5,4,4,0.1,4
Amine Ben Hmida,M. Ben Hmida,D,Tunisia,4,4,4,0,4
Sebastián Cáceres,S. Cáceres,D,Uruguay,4.5,4,4,0.1,4
Han-Beom Lee,H. Lee,D,South Korea,4.5,4,4,0.1,4
Juninho Bacuna,J. Bacuna,M,Curaçao,4.5,4,4,0.1,4
Marko Stamenić,M. Stamenić,M,New Zealand,4,4,4,0.1,4
César Blackman,C. Blackman,D,Panama,4,4,4,0.1,4
Luc De Fougerolles,L. D. Fougerolles,D,Canada,4,4,4,0.1,4
Jamiro Monteiro,J. Monteiro,M,Cabo Verde,4,4,4,0.1,4
Aiden O'Neill,A. O'Neill,M,Australia,4.5,4,4,0,4
Yusuf Abdurisag,Y. Abdurisag,F,Qatar,4,4,4,0.7,4
Ali Nemati,A. Nemati,D,Iran,4.5,4,4,0,4
Raphinha,Raphinha,M,Brazil,10.5,3,3,9.8,3
Kevin De Bruyne,K. De Bruyne,M,Belgium,7.5,3,3,4.8,3
Pablo Gavi,Gavi,M,Spain,6.5,3,3,2.3,3
David Alaba,D. Alaba,D,Austria,5.5,3,3,3.8,3
Alexis Mac Allister,A. Mac Allister,M,Argentina,7.5,3,3,1.6,3
Alisson,Alisson,G,Brazil,6,3,3,14,3
William Saliba,W. Saliba,D,France,7,3,3,9.9,3
Tijjani Reijnders,T. Reijnders,M,Netherlands,7.5,3,3,0.8,3
Pape Gueye,P. Gueye,M,Senegal,6.5,3,3,0.6,3
Mateo Kovačić,M. Kovačić,M,Croatia,6,3,3,2,3
Ramy Bensebaini,R. Bensebaini,D,Algeria,6,3,3,5.8,3
Idrissa Gana Gueye,I. Gueye,M,Senegal,5.5,3,3,1.1,3
Mehdi Taremi,M. Taremi,F,Iran,5,3,3,1.1,3
Edouard Mendy,E. Mendy,G,Senegal,5.5,3,3,3.6,3
Donyell Malen,D. Malen,F,Netherlands,7,3,3,1.8,3
Noah Sadiki,N. Sadiki,M,DR Congo,5,3,3,0.4,3
Jordan Ayew,J. Ayew,F,Ghana,5.5,3,3,1,3
Jonathan Tah,J. Tah,D,Germany,6.5,3,3,3.3,3
Saud Abdulhamid,S. Abdulhamid,D,Saudi Arabia,4.5,3,3,0.3,3
Issa Diop,I. Diop,D,Morocco,5,3,3,0.6,3
Christ Inao Oulaï,C. I. Oulaï,M,Côte d'Ivoire,5.5,3,3,0.6,3
Miguel Almirón,M. Almirón,M,Paraguay,6,3,3,1.2,3
Moussa Niakhaté,M. Niakhaté,D,Senegal,5,3,3,0.4,3
Nabil Bentaleb,N. Bentaleb,M,Algeria,5.5,3,3,0.5,3
Jordan Pickford,J. Pickford,G,England,5.5,3,3,8.5,3
Amadou Onana,A. Onana,M,Belgium,6,3,3,1.7,3
Louicius Don Deedson,L. D. Deedson,F,Haiti,4,3,3,0.1,3
Lionel Mpasi Nzau,L. Mpasi Nzau,G,DR Congo,4.5,3,3,0.2,3
Dan Ndoye,D. Ndoye,M,Switzerland,5,3,3,0.9,3
Joris Kayembe,Kayembe,D,DR Congo,4,3,3,0.2,3
Fredrik Aursnes,F. Aursnes,M,Norway,5,3,3,0.3,3
Junya Ito,J. Ito,M,Japan,5,3,3,0.5,3
Promise David,P. David,F,Canada,4.5,3,3,0.2,3
Yasser Ibrahim,Y. Ibrahim,D,Egypt,4.5,3,3,0.2,3
Merih Demiral,M. Demiral,D,Türkiye,5,3,3,0.7,3
Edo Kayembe,E. Kayembe,M,DR Congo,4.5,3,3,0,3
Merchas Doski,M. Doski,D,Iraq,4,3,3,0.2,3
Pavel Šulc,P. Šulc,M,Czechia,5.5,3,3,0.5,3
Kevin Danso,K. Danso,D,Austria,4.5,3,3,0.4,3
Denis Zakaria,D. Zakaria,M,Switzerland,5.5,3,3,0.6,3
Otabek Shukurov,O. Shukurov,M,Uzbekistan,4,3,3,0.1,3
Ibrahim Bayesh,I. Bayesh,M,Iraq,4,3,3,0,3
Thomas Meunier,T. Meunier,D,Belgium,5,3,3,0.4,3
Teboho Mokoena,T. Mokoena,M,South Africa,4.5,3,3,0.4,3
Timothy Castagne,T. Castagne,D,Belgium,5,3,3,0.3,3
Hernán Galíndez,H. Galíndez,G,Ecuador,4.5,3,3,1.1,3
Isak Hien,I. Hien,D,Sweden,4.5,3,3,0.2,3
Benjamin Tahirović,B. Tahirović,M,Bosnia & Herzegovina,5,3,3,0.1,3
Lawrence Ati Zigi,L. A. Zigi,G,Ghana,4.5,3,3,0.2,3
Young-woo Seol,Y. W. Seol,D,South Korea,4.5,3,3,0.1,3
Nicolas Raskin,N. Raskin,M,Belgium,5,3,3,0.1,3
Lawrence Shankland,L. Shankland,F,Scotland,4.5,3,3,0.2,3
Ørjan Nyland,Ø. Nyland,G,Norway,5,3,3,1.1,3
Nicolas Seiwald,N. Seiwald,M,Austria,5.5,3,3,0.5,3
Elisha Owusu,E. Owusu,M,Ghana,4.5,3,3,0.1,3
Nasser Al-Dawsari,N. Al-Dawsari,M,Saudi Arabia,4.5,3,3,0.1,3
Jovane Cabral,J. Cabral,F,Cabo Verde,4.5,3,3,0.1,3
Ji-sung Eom,J. Eom,M,South Korea,4.5,3,3,0,3
Akmal Mozgovoy,A. Mozgovoy,M,Uzbekistan,4,3,3,0,3
Derek Cornelius,D. Cornelius,D,Canada,4.5,3,3,0.1,3
Shogo Taniguchi,S. Taniguchi,D,Japan,4.5,3,3,0.1,3
Lukáš Provod,L. Provod,M,Czechia,5.5,3,3,0.4,3
Jürgen Locadia,J. Locadia,F,Curaçao,4,3,3,0.1,3
Shahriar Moghanlou,S. Moghanlou,F,Iran,4.5,3,3,0,3
Maxime Crépeau,M. Crépeau,G,Canada,4,3,3,0.4,3
Abdallah Nasib,A. Nasib,D,Jordan,4,3,3,0,3
Alexander Schlager,A. Schlager,G,Austria,5,3,3,0.5,3
Callum McCowatt,C. McCowatt,M,New Zealand,4,3,3,0,3
Zaid Ismail,Z. Ismail,M,Iraq,4,3,3,0.1,3
Cristian Martínez,C. Martínez,M,Panama,4,3,3,0.1,3
Joe Bell,J. Bell,M,New Zealand,4,3,3,0,3
Mahmud Abunada,M. I. Abunada,G,Qatar,4,3,3,1.4,3
Michael Boxall,M. Boxall,D,New Zealand,4,3,3,0,3
Jaroslav Zelený,J. Zelený,D,Czechia,4,3,3,0.1,3
Alexandr Sojka,A. Sojka,M,Czechia,4,3,3,0.3,3
Son Heung-min,S. Heung-min,M,South Korea,7,2,2,1.5,2
Désiré Doué,D. Doué,M,France,8,2,2,4.3,2
Antoine Semenyo,A. Semenyo,M,Ghana,7,2,2,2.5,2
Jérémy Doku,J. Doku,M,Belgium,8.5,2,2,5.6,2
Matheus Cunha,M. Cunha,F,Brazil,7.5,2,2,3,2
James Rodríguez,J. Rodríguez,M,Colombia,6,2,2,5.3,2
Cédric Bakambu,C. Bakambu,F,DR Congo,4.5,2,2,0.7,2
Rayan Aït-Nouri,R. Aït-Nouri,D,Algeria,5.5,2,2,3,2
Nuno Mendes,N. Mendes,D,Portugal,7.5,2,2,23,2
Chancel Mbemba,C. Mbemba,D,DR Congo,4.5,2,2,0.8,2
Leroy Sané,L. Sané,M,Germany,7,2,2,1.3,2
